candidate_id,rank,score,reasoning
CAND_0092278,1,1.0468152642250061,Ranked for 6.8 years of experience. Strong semantic alignment (AI Score: 0.75).
CAND_0079387,2,1.0424487471580506,Ranked for 6.9 years of experience. Strong semantic alignment (AI Score: 0.74).
CAND_0007411,3,1.0422948479652405,Ranked for 8.0 years of experience. Strong semantic alignment (AI Score: 0.74).
CAND_0018499,4,1.036559510231018,Ranked for 7.2 years of experience. Strong semantic alignment (AI Score: 0.74).
CAND_0071974,5,1.0353222966194153,Ranked for 7.8 years of experience. Strong semantic alignment (AI Score: 0.74).
CAND_0010541,6,1.0299143671989441,Ranked for 6.2 years of experience. Strong semantic alignment (AI Score: 0.73).
CAND_0005269,7,1.0298896908760071,Ranked for 6.1 years of experience. Strong semantic alignment (AI Score: 0.73).
CAND_0082086,8,1.0286043167114258,Ranked for 6.0 years of experience. Strong semantic alignment (AI Score: 0.73).
CAND_0028184,9,1.0267196774482727,Ranked for 6.5 years of experience. Strong semantic alignment (AI Score: 0.73).
CAND_0020845,10,1.025510835647583,Ranked for 7.0 years of experience. Strong semantic alignment (AI Score: 0.73).
CAND_0018888,11,1.025366473197937,Ranked for 6.5 years of experience. Strong semantic alignment (AI Score: 0.73).
CAND_0042029,12,1.0237143516540528,Ranked for 6.5 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0062926,13,1.022875475883484,Ranked for 6.5 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0039286,14,1.0228195667266846,Ranked for 6.6 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0052682,15,1.0219864130020142,Ranked for 6.6 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0056223,16,1.0218928337097168,Ranked for 6.0 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0067893,17,1.020066785812378,Ranked for 6.8 years of experience. Strong semantic alignment (AI Score: 0.72).
CAND_0003891,18,1.0193466424942017,Ranked for 7.5 years of experience. Strong semantic alignment (AI Score: 0.72).
